name,x,y,z,class,size
Zeta Alpha II,272.16,238.17,-4.93,A,3
Haakon,271.17,239.14,13.96,B,5
Alpha Cygnus IX,282.55,294.1,-28.14,B,16
Devidia II,252.91,212.24,-7.44,A,18
Kylata II,254.88,247.58,31.91,A,17
Tiburon,228.78,252.01,32.68,B,11
Alpha Centauri,261.26,270.58,-29.56,B,17
Marva IV,276.12,219.09,-22.63,C,16
Boreal III,253.91,254.19,-5.41,A,2
Brekka,243.02,212.19,17.85,A,4
Brunali homeworld,215.63,283.89,-36.55,C,7
Taurus II,251.62,230.94,-1.1,A,2
Malona IV,309.44,301.32,-9.48,M,6
Atalia VII,218.12,237.38,26.52,A,17
Kurl,328.41,260.03,-33.54,C,7
Peliar Zel,241.32,228.54,1.85,M,5
Remus,209.11,260.11,-7.87,B,5
Ninipia Prime,229.57,236.83,29.4,C,16
Trill,289.96,317.75,11.95,C,19
Durenia IV,278.93,226.95,-11.72,B,9
Algeron IV,277.21,260.02,17.07,C,5
Kiberia,270.0,234.71,-7.78,A,8
Felton Prime,238.03,289.41,19.99,B,9
Fendaus V,223.72,203.5,-4.74,C,5
Tartarus V,227.67,276.9,21.09,B,10
Tandar Prime,225.39,215.37,8.72,B,2
Pacifica,277.77,279.49,65.21,B,9
Kolarus III,242.3,221.44,-1.06,M,11
Vulcan,279.79,221.5,7.66,C,4
Astral V,218.89,238.53,-9.59,M,2
Gamma II,243.95,276.73,0.05,C,6
Feris VI,242.4,218.53,-54.04,A,14
Cardassia V,249.39,256.91,9.31,A,1
Talarian homeworld,264.95,203.0,26.86,A,18
Yonada,248.73,286.3,7.93,C,7
Balosnee VI,228.5,247.11,-26.28,B,1
Carema III,269.84,253.27,-16.04,B,1
Gonal IV,230.88,217.57,-48.6,M,1
Tarsus III,236.03,270.48,19.58,M,4
Argelius II,216.72,273.99,-20.13,A,4
Akritiri,271.75,283.41,-0.57,M,18
Secarus IV,211.76,208.23,-3.07,C,11
Varala,288.85,279.12,29.75,C,1
Garenor homeworld,225.59,198.91,1.71,M,10
Valo II,272.76,288.07,16.18,M,9
Juhraya,227.11,259.91,10.93,M,4
Beta Niobe I,241.59,308.02,27.19,M,6
Delta IV,245.08,240.31,-4.78,A,16
Elanu IV,280.85,263.05,37.39,A,2
Yadalla Prime,235.49,198.8,-39.71,M,18
Malaya IV,258.06,247.27,17.15,C,10
Moab IV,256.99,168.08,-17.33,A,17
Iraatan V,275.85,289.86,-9.85,C,13
Trelka V,240.4,221.69,11.39,B,18
Thurasia,249.77,294.72,11.23,C,13
Beltane IX,243.21,251.68,12.13,M,17
Kraus IV,254.43,279.12,-27.72,B,5
Ronara Prime,248.2,225.49,28.98,A,11
Bajor VIII,234.05,268.46,-18.01,A,7
Klaestron IV,247.9,215.13,-15.35,B,10
Pluto,243.12,292.75,12.76,C,17
Xindi Council Planet,260.82,217.98,-5.73,A,15
Beta Aquilae II,243.6,272.51,6.17,M,18
Kabrel II,230.32,220.52,-43.13,B,19
Nanibia Prime,265.28,296.94,5.69,M,2
Pendari,244.06,206.63,4.36,B,4
Delvos Prime,300.94,278.63,-10.2,A,3
Ligobis X,212.13,224.62,-41.48,C,7
Beth Delta I,257.62,303.36,-4.26,B,18
Narendra III,267.05,214.53,-0.75,B,10
Enara Prime,243.55,266.9,-7.34,M,7
Malur,227.45,209.2,-36.72,A,8
Thalos IV,237.28,302.22,31.89,M,6
Gamma Hydra IV,214.29,258.08,-12.78,A,1
Emila II,280.25,256.31,-4.44,M,4
Yridian homeworld,240.03,196.25,-48.19,B,14
Parvenium system,244.46,279.26,31.9,M,17
Gamma Canaris IV,205.58,219.36,-9.33,C,18
Parsion III,224.63,298.41,1.97,A,11
Japori II,276.26,199.34,22.41,A,14
Ha'Dara,257.9,262.82,-13.53,B,9
"Halkan homeworld,",271.02,218.92,19.26,A,15
Sefalla Prime,271.57,278.97,-41.23,C,12
Nechani homeworld,229.55,233.77,11.02,M,10
Talos IV,297.83,293.91,31.44,B,19
Verex III,287.43,226.09,-11.61,C,19
Ilari,239.1,282.87,22.38,A,6
Corvan II,181.32,260.44,36.68,A,6
Daran V,242.43,269.14,-5.1,C,8
Meldrar I,255.63,226.25,-6.75,M,1
Portas V,237.67,261.26,-17.97,M,17
Balancar,247.48,193.38,-10.19,B,17
Mizar II,231.94,274.46,-16.31,A,15
Earth,270.2,244.98,-17.98,C,7
Achrady VII,248.36,291.6,23.98,M,19
Beta Aurigae,271.49,201.96,-15.8,B,3
Bringloid V,269.8,294.08,5.17,A,11
Telsius,212.38,213.59,0.76,A,19
Memory Alpha,230.87,277.85,29.96,B,9
Xindus,242.86,185.89,-10.06,B,10
Chalna,293.89,315.05,7.62,M,2
Breen homeworld,258.42,216.24,15.82,C,1
Nivoch,259.49,329.32,29.79,A,16
Beta Kupsic,220.61,229.82,-10.36,C,18
Holna IV,245.92,298.7,-12.36,A,17
Pellius V,275.79,203.37,-21.24,A,6
Mab-Bu VI,258.71,267.73,44.73,C,14
Dekendi III,269.87,207.23,27.69,B,15
Monea,241.76,267.5,-0.84,M,14
Barisa Prime,260.08,223.39,38.63,A,3
Bynaus,208.67,319.86,-2.04,B,19
Krios,242.79,205.93,14.49,A,12
Tau Cygna V,244.13,307.06,0.2,M,2
Stameris,247.18,197.66,7.96,A,3
Janus VI,251.85,283.78,5.84,M,18
Gramilia,270.33,195.12,-8.5,M,1
Aschelan V,263.66,249.62,21.85,A,6
Malindi VII,280.43,209.56,14.32,A,5
Paraagan homeworld,241.34,292.24,20.55,M,1
Zetar,277.37,230.03,6.4,B,19
Tarakis,254.95,304.85,-18.13,C,1
Moselina system,254.83,225.05,34.19,M,16
Antede III,229.08,271.95,-5.25,A,12
Zaran II,263.44,218.39,7.28,A,8
Mariah IV,225.43,319.68,12.71,B,16
Norellus,285.08,216.79,7.15,C,1
Pentath III,221.68,324.27,18.31,M,4
Planet X,290.37,247.12,21.47,M,10
Atbar Prime,225.57,285.4,-4.5,C,11
Kanda IV,276.86,196.7,32.51,M,17
Galvin V,234.47,276.33,-5.34,C,7
Browder IV,251.06,181.56,6.73,A,12
Troyius,230.05,280.87,-7.75,C,7
Torman V,276.23,231.83,-13.47,M,12
Calder II,228.24,249.84,20.88,C,15
Sakari homeworld,246.37,190.49,62.44,B,2
Illyria,259.7,288.07,-7.24,A,14
Wolf 424,273.68,193.51,24.31,A,13
Delta Vega,212.87,280.69,-6.52,C,4
Caleb IV,302.76,200.29,-0.21,M,14
Starbase 152,237.72,285.57,35.15,B,14
Altair VI,252.14,196.43,-21.47,A,16
Omicron Ceti III,206.34,275.37,-26.76,A,7
Andoria,271.04,226.92,-1.74,M,19
Beta Antares IV,229.81,309.19,13.27,M,2
Taurean II,287.46,184.88,9.27,B,10
Turkana IV,240.64,239.74,7.21,C,18
Magus III,286.95,229.48,0.68,M,17
Alpha Majoris I,246.77,267.45,15.73,C,5
Timor II,280.47,214.21,-58.27,B,12
Kataan,207.56,261.2,-15.02,C,6
Centauri VII,279.15,234.03,-1.87,A,9
Tzenketh,219.03,335.27,14.09,C,1
Nelvana III,233.72,214.1,29.8,B,15
Drema IV,209.12,287.38,-17.7,B,6
Lyshan,286.94,205.26,29.14,B,19
Rator III,210.57,302.86,-9.05,C,18
Prakal II,270.71,221.55,-2.6,A,6
Modean,233.52,306.51,11.63,M,13
Nel III,266.93,200.41,-4.06,A,1
Vissia,228.87,294.26,22.2,C,13
Gorlan homeworld,260.56,202.3,-8.09,C,7
Valt Minor,264.41,268.92,-7.79,M,15
Invernia II,281.58,211.63,21.04,C,12
Neural,208.29,271.0,-15.26,B,1
Quadra Sigma III,306.83,233.66,4.98,B,15
Evadne IV,205.56,271.71,-33.21,B,4
Mazar,313.36,219.63,36.39,B,13
Rachelis,218.57,275.9,24.13,B,5
Miridian VI,286.44,218.53,55.0,C,2
Boraal II,206.96,276.87,26.77,M,1
Potak III,310.93,191.85,-22.59,M,16
Tholia,213.99,294.22,13.37,B,6
Mantilles,298.22,210.43,-18.36,C,16
Archer's Comet,218.43,290.2,31.56,A,14
Hanoran II,293.96,207.55,-22.02,A,3
Scalos,217.02,261.26,-22.98,C,15
Ilecom system,290.55,234.69,-32.2,B,3
Starbase Montgomery,205.99,296.99,-9.77,M,2
M-S-1,274.02,206.29,-13.79,C,1
Callinon VII,211.07,284.69,-25.23,A,9
Daled IV,264.56,235.07,39.8,A,9
Polaric Ion Planet,209.81,274.86,10.6,A,7
Meles II,290.75,212.2,8.24,B,3
Tarellia,210.39,286.46,31.78,A,18
Dimorus,278.37,210.13,5.13,C,11
Ajilon Prime,166.0,296.45,-14.97,C,7
Gamma Canaris N,291.52,215.87,-34.0,A,9
Delos III,183.74,267.24,-16.1,C,1
Tau Ceti IV,267.72,230.07,30.11,A,14
Camus II,214.23,260.34,-25.11,A,6
Velara III,327.25,255.1,7.06,M,7
Pullock V,186.2,306.72,20.68,B,10
Signet 14,299.2,229.87,5.71,B,7
Orias III,193.72,286.0,7.98,M,2
Tessen III,290.1,228.38,13.11,M,4
M-113,209.5,269.39,7.59,B,17
Rondac III,319.73,227.72,32.18,A,1
Vandor IV,182.26,261.13,-20.81,A,10
Dedestris,304.06,232.09,4.81,B,19
Straleb,218.24,290.98,-36.36,A,15
Aaamazzara,315.98,217.85,-41.47,M,10
Rakosa V,209.66,265.08,-1.63,A,19
Omicron Delta,328.43,204.51,10.87,A,12
Udala Prime,217.56,299.19,32.61,C,16
Ohniaka III,323.48,217.34,48.4,C,9
Kazlati homeworld,196.06,270.04,26.4,C,15
Gamelan V,300.33,232.16,14.54,A,17
Tendara colony,194.5,277.25,3.2,B,14
Terosa Prime,298.62,240.67,-30.62,M,18
Rakhar,158.86,265.07,-2.92,A,2
Ramura,303.78,209.76,25.81,B,4
Zibalia,197.12,248.3,17.97,A,18
Blue Horizon,299.42,220.25,-25.73,M,7
Harrod IV,187.03,253.42,12.28,A,13
Alpha Omicron VII,307.53,225.95,10.57,M,15
Founders' homeworld,212.29,290.39,7.0,A,1
Epsilon Indi II,304.86,225.79,-0.56,M,11
Beta Stromgren,211.47,261.01,13.31,A,10
Time Planet,266.23,232.93,13.95,M,5
Shelia,210.52,259.46,-12.83,C,16
Orion I,334.08,233.19,9.1,A,11
Kyria,202.3,274.15,-3.79,A,6
Amargosa,279.58,250.19,-29.74,B,9
Meezan IV,203.49,280.69,-11.23,B,13
Midos V,312.99,270.8,-31.27,M,8
Adelphous IV,143.82,272.28,19.6,A,14
Sakura Prime,336.04,274.84,7.12,M,1
Ogat,209.1,248.77,-7.11,C,17
Galor IV,283.63,273.58,28.41,B,5
Eden,187.42,254.14,1.36,M,2
Kessik IV,338.72,235.52,-28.62,M,9
